xihao,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
P29,5.00E+03,1.49E+06,1.72E+06,2.65E+06,1.60E+06,8.46E+06,6.61E+07,2.69E+08,5.41E+08,9.54E+08,2.44E+09,1.10E+10,1.75E+10,8.14E+09,1.16E+10
P30,5.00E+03,1.06E+06,2.18E+06,1.33E+06,1.45E+06,1.25E+06,4.78E+06,9.04E+06,4.15E+06,8.92E+06,2.62E+06,3.52E+06,5.60E+06,6.26E+06,4.43E+06
P31,5.00E+03,1.75E+05,4.28E+05,8.52E+05,1.95E+06,3.22E+06,4.78E+06,4.62E+06,3.26E+06,2.70E+06,2.83E+06,8.92E+06,9.14E+06,3.24E+07,4.19E+07
P32,5.00E+03,1.18E+06,1.98E+06,2.15E+06,1.95E+06,1.95E+06,1.62E+06,6.18E+06,3.62E+07,6.39E+07,2.60E+08,2.57E+08,3.07E+08,3.52E+08,5.61E+08
P33,5.00E+03,5.21E+05,3.48E+05,8.73E+05,2.56E+05,4.91E+06,4.51E+07,3.48E+08,2.78E+09,7.64E+09,3.37E+09,3.70E+09,1.54E+10,7.19E+09,4.80E+09
P34,5.00E+03,1.83E+05,1.26E+05,1.04E+06,2.12E+05,8.56E+04,4.04E+05,1.32E+06,4.27E+07,4.07E+07,5.26E+07,4.61E+07,5.62E+07,3.38E+07,4.42E+07
P35,5.00E+03,1.36E+05,8.23E+04,1.96E+05,5.03E+05,1.62E+05,2.61E+05,4.48E+05,9.43E+07,3.78E+07,3.43E+07,5.13E+07,4.42E+07,3.54E+07,4.95E+07
P36,5.00E+03,4.43E+05,1.31E+05,1.93E+05,4.54E+05,5.52E+05,2.82E+05,5.96E+06,9.57E+07,4.10E+07,5.24E+07,5.99E+07,4.60E+07,5.47E+07,4.02E+07
P37,5.00E+03,2.11E+05,2.26E+05,1.80E+05,1.27E+05,9.69E+05,9.12E+06,9.32E+07,4.85E+08,4.75E+08,2.54E+09,5.39E+09,1.25E+10,2.10E+10,4.08E+10
P38,5.00E+03,4.23E+05,4.61E+05,1.99E+05,1.82E+05,9.66E+05,2.58E+06,5.25E+06,1.92E+08,5.82E+07,2.68E+07,6.51E+07,5.47E+07,4.36E+07,9.06E+07
