xihao,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
P29,5.00E+03,2.93E+06,2.60E+06,1.59E+06,3.29E+06,3.31E+06,1.44E+06,1.29E+06,7.44E+06,1.09E+08,8.36E+07,4.18E+06,7.56E+07,9.21E+07,1.20E+10
P30,5.00E+03,4.59E+04,1.56E+06,1.84E+05,2.45E+05,2.95E+06,2.51E+06,1.36E+08,2.32E+08,7.43E+08,2.00E+07,4.68E+06,7.86E+07,9.01E+07,1.30E+10
P31,5.00E+03,1.25E+06,5.88E+04,4.01E+04,3.27E+05,1.27E+05,1.13E+06,7.00E+06,1.23E+06,7.37E+07,1.09E+08,5.78E+07,9.76E+07,6.89E+07,1.30E+08
P32,5.00E+03,2.06E+05,6.92E+04,3.19E+05,4.72E+05,6.93E+05,1.45E+06,4.39E+06,3.20E+06,3.73E+07,2.68E+08,2.78E+08,5.46E+08,6.89E+07,1.30E+08
P33,5.00E+03,1.05E+05,5.95E+05,9.07E+05,5.22E+04,3.46E+05,4.57E+06,4.53E+07,1.83E+07,2.61E+08,4.58E+08,6.75E+07,3.46E+08,4.57E+08,3.47E+08
P34,5.00E+03,4.62E+04,2.32E+05,2.52E+06,2.36E+05,7.92E+05,1.94E+05,1.15E+06,3.46E+07,1.13E+08,2.77E+08,7.66E+07,1.62E+09,2.23E+09,1.28E+11
P35,5.00E+03,1.58E+06,5.26E+06,4.08E+08,5.39E+06,2.01E+08,1.01E+08,5.80E+08,9.53E+08,6.58E+08,3.14E+07,5.13E+07,2.34E+07,2.06E+07,1.36E+07
P36,5.00E+03,1.95E+05,2.21E+06,9.95E+05,6.27E+05,2.47E+05,1.70E+05,1.97E+05,3.92E+06,2.77E+06,5.87E+06,1.64E+07,1.46E+07,9.83E+06,7.59E+06
P37,5.00E+03,3.76E+07,4.03E+06,3.16E+06,1.07E+07,9.81E+07,1.39E+08,6.54E+07,5.69E+07,6.13E+08,5.17E+07,6.46E+08,1.45E+09,3.46E+09,1.11E+09
P38,5.00E+03,1.08E+07,3.25E+06,8.01E+05,1.70E+08,1.06E+08,8.27E+07,9.68E+06,1.04E+07,9.85E+06,1.37E+07,2.11E+08,1.32E+09,4.05E+09,5.93E+08
